Pipeline Dashboard,Count,% of Total
"Generated: April 07, 2026",,
,,
LEADS BY STATUS,,
New,4441,
Contacted,0,
Meeting Scheduled,0,
Meeting Completed,0,
Proposal Sent,0,
Won,0,
Lost,0,
Nurture,0,
TOTAL,4441,
,,
LEADS BY TIER,,
Tier 1 (0-30 min),124,
Tier 2 (30-60 min),212,
Tier 3 (60-120 min),203,
Tier 4 (120-180 min),115,
Tier 5 (180+ drivable),579,
Tier 6 (Requires flight),335,
Hospital-Based,2873,
,,
LEADS BY PRIORITY,,
A (High Priority),59,
B (Medium),2412,
C (Low),1970,
,,
MICROLYTE ELIGIBILITY,,
Eligible (Track B),2703,
Not Eligible (Track A),1738,
,,
ACTIVITY TRACKING,This Week,This Month
Calls Made,0,0
Emails Sent,0,0
Visits Completed,0,0
Meetings Set,0,0
Proposals Sent,0,0
,,
CONVERSION RATES,,
Contacted → Meeting Set,0%,
Meeting → Proposal,0%,
Proposal → Won,0%,
Overall Win Rate,0%,
